time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
1.2,29.02986162,7,0.860702967499,0.963574942635,0.122957566786,0.320923949957,0.0409747242932,0.320954021864,0.0409812835521,0.32094281299,0.0410015589402
1.6,58.0597232399,7,0.842719260958,0.954228763772,0.120388465851,0.318445136629,0.0403149694679,0.316683161064,0.0397629779288,0.318366211901,0.0403105184546
2,87.0895848599,7,0.906974744936,0.981632805321,0.129567820705,0.327323938914,0.0432444716923,0.326450295794,0.043103140353,0.327144488679,0.0432202086599
2.4,116.11944648,7,0.89394839713,0.978115823372,0.127706913876,0.326172117152,0.0426339438445,0.325525685565,0.0425367843664,0.325723130717,0.0425361856648
2.8,145.1493081,7,0.83717056923,0.953485077961,0.119595795604,0.317272947095,0.0396887660005,0.317784018213,0.0399770794341,0.317751139599,0.0399299501697
3.2,174.17916972,7,0.817958973227,0.943113478266,0.11685128189,0.3120077744,0.0382528240267,0.315183998362,0.0393083989366,0.315261224449,0.0392900589263
3.6,203.20903134,7,0.829300529279,0.946965273727,0.118471504183,0.313936161034,0.0391236781414,0.316071829039,0.0396654165137,0.316311394488,0.0396824095276
4,232.23889296,7,0.825214419152,0.945581063106,0.117887774165,0.314581787902,0.0392534744909,0.31506072934,0.0393197949578,0.315305331148,0.0393145047158
4.4,261.26875458,7,0.805890945264,0.936849262871,0.115127277895,0.312426107088,0.0385557802449,0.312416868412,0.0384978668869,0.311383994465,0.038073630763
4.8,290.2986162,7,0.791852871536,0.929412185698,0.113121838791,0.310877261327,0.0381476397301,0.310918853307,0.0380975906197,0.307003498407,0.0368766084411
5.2,319.32847782,7,0.792092741891,0.928368715675,0.113156105984,0.31042000927,0.0380591505449,0.310595381289,0.0380314005876,0.306748991618,0.0370655548519
5.6,348.35833944,7,0.791809788076,0.928285860002,0.113115684011,0.309722080092,0.0378452346772,0.30962404752,0.0377227687249,0.308342402604,0.0375476806087
6,377.38820106,7,0.783455864263,0.924487373297,0.111922266323,0.308536372539,0.0374866508605,0.307069087486,0.0369391888308,0.308290558963,0.0374964266319
6.4,406.418062679,7,0.773305369616,0.919199593005,0.110472195659,0.30769433002,0.0372486411319,0.303320443012,0.0359139589655,0.307598934268,0.0373095955622
6.8,435.447924299,7,0.771375041732,0.917363847922,0.110196434533,0.3072678396,0.0371231507106,0.302294878855,0.0358613098096,0.307219850928,0.037211974013
7.2,464.477785919,7,0.772918393224,0.918035749399,0.110416913318,0.30639209044,0.0368499118448,0.304314021724,0.0365020866736,0.306752329171,0.0370649147994
7.6,493.507647539,7,0.76887168161,0.916325876275,0.109838811659,0.304311923521,0.0362223197057,0.305313993867,0.03675073569,0.306126066137,0.0368657562629
8,522.537509159,7,0.761294652784,0.912488438301,0.108756378969,0.301027511792,0.0353207885274,0.305313810027,0.0367395364506,0.305576554193,0.0366960539912
8.4,551.567370779,7,0.758402899933,0.910330542274,0.108343271419,0.299430798327,0.0350962548632,0.305136807421,0.036679221342,0.305195227303,0.0365677952137
8.8,580.597232399,7,0.760670974556,0.911271832427,0.108667282079,0.301476997039,0.0357819887872,0.304865974944,0.0365801896016,0.304363678001,0.0363051036906
9.2,609.627094019,7,0.758926798763,0.910735590612,0.108418114109,0.303086242725,0.0362019616653,0.304496826648,0.0364477887193,0.302589522542,0.0357683637244
9.6,638.656955639,7,0.7530121215,0.907860933296,0.107573160214,0.303579830486,0.0363132716911,0.3041056675,0.0363103292675,0.299614732833,0.0349495592557
10,667.686817259,7,0.749389481227,0.905462067398,0.107055640175,0.303630940209,0.0363013622024,0.303751359988,0.0361778605,0.29752109475,0.0345764174729
10.4,696.716678879,7,0.751778483211,0.906362775089,0.107396926173,0.303506183786,0.0362336181118,0.302981069349,0.0359266545671,0.299318711364,0.0352366534941
10.8,725.746540499,7,0.751401064322,0.906527325054,0.107343009189,0.303282170708,0.0361333756344,0.301398734259,0.0354473867874,0.301291202825,0.0357622467672
11.2,754.776402119,7,0.746674917059,0.904363769325,0.106667845294,0.302983467988,0.036012150948,0.298685027244,0.034696455406,0.302141814852,0.0359592389402
11.6,783.806263739,7,0.742500084202,0.901781870965,0.1060714406,0.302645479713,0.0358754878702,0.296175818317,0.0341983832344,0.302408709124,0.0359975694957
12,812.836125359,7,0.744702202969,0.902479360506,0.106386028996,0.301931802039,0.0356370265536,0.297586033845,0.034793953829,0.302411170231,0.035955048613
12.4,841.865986979,7,0.745161817928,0.903061958931,0.106451688275,0.300518309134,0.0352020801468,0.299725402239,0.0353786770003,0.302269179367,0.0358709311284
12.8,870.895848599,7,0.741407778969,0.901478700182,0.105915396996,0.29801461798,0.0345058366482,0.30086926332,0.0356482761684,0.30204722773,0.035761284179
13.2,899.925710219,7,0.736869670471,0.898807490157,0.105267095782,0.295175089457,0.0339056409756,0.301341646797,0.0357327348013,0.301744531835,0.0356287200047
13.6,928.955571839,7,0.738712406962,0.899226408941,0.105530343852,0.296106019515,0.0344085333363,0.301455914423,0.0357131711845,0.301119554518,0.0354086393309
14,957.985433459,7,0.739793738867,0.900097944411,0.105684819838,0.298331074581,0.0350372419308,0.301415939823,0.0356474743266,0.299807076944,0.0350001035808
14.4,987.015295079,7,0.736885521038,0.89900804065,0.105269360148,0.299750555593,0.0353773264594,0.301235144172,0.0355436013649,0.297479747863,0.0343484323239
14.8,1016.0451567,7,0.732108390824,0.896324202463,0.104586912975,0.300362298727,0.0354913431057,0.30096151461,0.0354131582599,0.294459012886,0.0336824116093
15.2,1045.07501832,7,0.733227649119,0.896277029188,0.104746807017,0.300592424496,0.0354959523667,0.300362709121,0.0351950478133,0.294781713993,0.0340558068369
15.6,1074.10487994,7,0.734966273302,0.897423405953,0.1049951819,0.300619023031,0.0354419051742,0.299199180096,0.034826434515,0.297065969694,0.034726842211
16,1103.13474156,7,0.732704217793,0.896728202925,0.104672031113,0.300493368346,0.0353458139823,0.297041403736,0.0342165837581,0.298655287848,0.0351096333729
16.4,1132.16460318,7,0.727938174165,0.894157005442,0.103991167738,0.300261983437,0.0352208910133,0.293903621297,0.0335015743254,0.299454306797,0.0352687023992
16.8,1161.1944648,7,0.728331692109,0.89367841296,0.104047384587,0.299732774643,0.0350175919284,0.29361388682,0.0337335357433,0.299795710056,0.0352962569153
17.2,1190.22432642,7,0.730577373074,0.894997853369,0.104368196153,0.298660862318,0.0346726265346,0.295912624746,0.034440781953,0.299889151091,0.0352547876658
17.6,1219.25418804,7,0.728966518859,0.894687152617,0.104138074123,0.296677461843,0.0341056291676,0.297671507276,0.0348693034106,0.299803941294,0.0351631415446
18,1248.28404966,7,0.72440711083,0.892335450787,0.103486730119,0.293560592787,0.0333765859498,0.298617416895,0.0350631662328,0.299624152847,0.035046977936
18.4,1277.31391128,7,0.723922053833,0.89136864143,0.103417436262,0.292642151593,0.0334526267115,0.299042710523,0.0351088215771,0.299151437687,0.0348559879732
18.8,1306.3437729,7,0.726548577918,0.892779618505,0.103792653988,0.294836227742,0.0341707246904,0.299223925165,0.0350844928365,0.29818780205,0.0345374364613
19.2,1335.37363452,7,0.725578350013,0.892824566573,0.103654050002,0.296745627462,0.0346433555108,0.299184379287,0.0350004152656,0.29636368276,0.0340102792255
19.6,1364.40349614,7,0.721365893447,0.890765028547,0.103052270492,0.297835428364,0.034870814613,0.299035719692,0.0348887729139,0.29336381595,0.0332926829655
20,1393.43335776,7,0.719941670549,0.889323348959,0.102848810078,0.298354468084,0.0349374566155,0.298625373775,0.0347110336734,0.291814316295,0.0332003197895
20.4,1422.46321938,7,0.722867163497,0.890758379224,0.103266737642,0.298603310746,0.0349271280675,0.297770812746,0.0344194683819,0.293855679555,0.033920141193
20.8,1451.493081,7,0.722552023091,0.891161455624,0.103221717584,0.29862160611,0.0348537689375,0.29613814269,0.0339390204477,0.295873791416,0.0344289281992
21.2,1480.52294262,7,0.718758067222,0.88941825764,0.102679723889,0.298501698325,0.0347466920211,0.293279174494,0.0332406065041,0.297110114362,0.0346924253637
21.6,1509.55280424,7,0.716471230448,0.887574148627,0.102353032921,0.298166806027,0.0345859472826,0.291144969629,0.0329825966045,0.297735812077,0.034784489034
22,1538.58266586,7,0.719525732098,0.88892888636,0.1027893903,0.297403377262,0.0343170554546,0.292966316854,0.033688252138,0.298033118601,0.0347840827072
22.4,1567.61252748,7,0.719809484619,0.889639733474,0.102829926374,0.29591817799,0.0338733100195,0.295101594461,0.0342386981627,0.29809444496,0.0347179181919
22.8,1596.6423891,7,0.716512535731,0.888254343459,0.102358933676,0.293280297919,0.0332135424504,0.296436884843,0.0345273552274,0.298012211756,0.034618035998
23.2,1625.67225072,7,0.713495680209,0.886117436152,0.101927954316,0.290693857614,0.0328150084928,0.297164448904,0.0346439159878,0.297734805907,0.034469029835
23.6,1654.70211234,7,0.716539583763,0.887314905634,0.10236279768,0.29217017461,0.0334735242346,0.297518009089,0.0346555813848,0.297102757941,0.034233692061
24,1683.73197396,7,0.717348022668,0.888273831464,0.102478288953,0.294374378619,0.034057693239,0.297618557851,0.0345972869802,0.29575729889,0.0338233087334
24.4,1712.76183558,7,0.714680941273,0.887307256444,0.102097277325,0.295860426386,0.0343870139375,0.297584260901,0.0345059609056,0.293339370012,0.0332043024816
24.8,1741.7916972,7,0.710956308773,0.88489719231,0.101565186968,0.296634850365,0.0345139992448,0.297355929241,0.0343683424927,0.290383752847,0.0326828452301
25.2,1770.82155882,7,0.713730368672,0.885817740004,0.101961481239,0.297053984853,0.0345404353972,0.296793999067,0.0341490176942,0.291447425647,0.0332720281475
